"Title","Pupil progress (‘Progress 8’) between ages 11 and 16 (key stage 2 to key stage 4)"
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.03","10155","0.01","0.06","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.28","4034","0.24","0.32","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.51","3709","0.47","0.55","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.06","11999","-0.08","-0.04","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.47","3358","-0.51","-0.43","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.15","7285","0.12","0.18","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.19","1356","-0.26","-0.13","",""
"Average Progress 8 score","2016/17","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.83","861","0.75","0.91","",""
"Average Progress 8 score","2016/17","2017","Academic year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.41","3371","0.37","0.46","",""
"Average Progress 8 score","2016/17","2017","Academic year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.60","3059","-0.64","-0.56","",""
"Average Progress 8 score","2016/17","2017","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.24","253190","-0.24","-0.23","",""
"Average Progress 8 score","2016/17","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.10","192372","0.10","0.11","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.07","182370","0.07","0.08","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.26","744","0.18","0.35","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.91","61","-1.21","-0.60","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.70","345","-0.83","-0.57","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.74","8852","0.71","0.76","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.19","10941","0.17","0.22","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.10","3493","-0.14","-0.06","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.31","1241","0.24","0.38","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.34","2381","0.29","0.39","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.33","3826","0.29","0.37","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.67","23432","0.65","0.69","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.88","5933","0.85","0.91","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.47","9765","0.45","0.49","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.70","4231","0.66","0.74","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.84","3503","0.80","0.88","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.38","12178","0.36","0.40","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.01","3401","-0.05","0.04","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.58","7393","0.55","0.61","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.25","1384","0.18","0.31","",""
"Average Progress 8 score","2016/17","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","1.03","818","0.95","1.12","",""
"Average Progress 8 score","2016/17","2017","Academic year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.79","3134","0.75","0.83","",""
"Average Progress 8 score","2016/17","2017","Academic year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.20","2839","-0.24","-0.15","",""
"Average Progress 8 score","2016/17","2017","Academic year","All pupils","All pupils","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.18","245714","0.18","0.19","",""
"Average Progress 8 score","2016/17","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.25","175522","-0.25","-0.24","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.27","166396","-0.28","-0.27","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.01","691","-0.10","0.08","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-1.30","25","-1.78","-0.82","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.87","237","-1.03","-0.71","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.29","8173","0.26","0.31","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.14","8875","-0.17","-0.11","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.45","2631","-0.50","-0.41","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.09","973","-0.17","-0.01","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.07","2054","0.02","0.12","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.03","3217","-0.07","0.01","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.33","20279","0.32","0.35","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.56","5975","0.53","0.59","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.08","8156","0.05","0.11","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.35","2899","0.30","0.39","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.55","3249","0.51","0.59","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.00","9355","-0.02","0.03","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.39","2590","-0.44","-0.34","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.20","5720","0.17","0.23","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.11","1045","-0.18","-0.03","",""
"Average Progress 8 score","2016/17","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.83","796","0.75","0.92","",""
"Average Progress 8 score","2016/17","2017","Academic year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.49","2550","0.45","0.45","",""
"Average Progress 8 score","2016/17","2017","Academic year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.55","2612","-0.59","-0.50","",""
"Average Progress 8 score","2016/17","2017","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.17","219989","-0.18","-0.18","",""
"Average Progress 8 score","2016/17","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.18","169712","0.18","0.19","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.15","160911","0.15","0.16","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.39","655","0.30","0.48","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.58","24","-1.08","-0.09","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.61","204","-0.78","-0.44","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.78","7918","0.75","0.81","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.29","8867","0.27","0.32","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.02","2683","-0.02","0.07","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.35","972","0.27","0.42","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.44","2049","0.39","0.49","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.40","3163","0.36","0.45","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.72","19262","0.70","0.74","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.91","5435","0.88","0.94","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.52","7690","0.49","0.54","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.74","3032","0.69","0.78","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.87","3105","0.83","0.92","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.42","9442","0.40","0.45","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.06","2649","0.02","0.11","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.60","5724","0.57","0.64","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.34","1069","0.26","0.41","",""
"Average Progress 8 score","2016/17","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","1.04","759","0.95","1.13","",""
"Average Progress 8 score","2016/17","2017","Academic year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.87","2344","0.82","0.92","",""
"Average Progress 8 score","2016/17","2017","Academic year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.14","2407","-0.18","-0.09","",""
"Average Progress 8 score","2016/17","2017","Academic year","All pupils","All pupils","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.25","212793","0.25","0.26","",""
"Average Progress 8 score","2016/17","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.89","23125","-0.90","-0.87","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.92","21934","-0.93","-0.90","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.77","80","-1.03","-0.50","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-1.51","26","-1.98","-1.04","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.95","135","-1.16","-0.75","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.15","950","-0.23","-0.08","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.63","2035","-0.69","-0.58","",""
