"Title","Futher education participants by ethnicity over time"
"Location","England"
"Time period","2002/03 to 2015/16"
"Data source","Further education and skills"
"Data source link","https://www.gov.uk/government/statistical-data-sets/fe-data-library-further-education-and-skills"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","November 2016"

"Standard Ethnicity","Year","Participants"
"All","2002/03","4,703,310"
"All","2003/04","5,437,420"
"All","2004/05","5,563,150"
"All","2005/06","4,893,920"
"All","2006/07","4,202,780"
"All","2007/08","4,360,750"
"All","2008/09","4,837,100"
"All","2009/10","4,635,510"
"All","2010/11","4,264,860"
"All","2011/12","4,216,610"
"All","2012/13","4,320,270"
"All","2013/14","3,913,520"
"All","2014/15","3,576,860"
"All","2015/16","3,274,900"
"Asian","2002/03","288,230"
"Asian","2003/04","328,880"
"Asian","2004/05","349,790"
"Asian","2005/06","331,740"
"Asian","2006/07","297,530"
"Asian","2007/08","318,370"
"Asian","2008/09","373,890"
"Asian","2009/10","359,290"
"Asian","2010/11","349,980"
"Asian","2011/12","346,860"
"Asian","2012/13","340,210"
"Asian","2013/14","306,900"
"Asian","2014/15","289,230"
"Asian","2015/16","271,500"
"Black","2002/03","198,310"
"Black","2003/04","228,550"
"Black","2004/05","257,440"
"Black","2005/06","250,040"
"Black","2006/07","230,010"
"Black","2007/08","246,680"
"Black","2008/09","274,370"
"Black","2009/10","266,330"
"Black","2010/11","258,100"
"Black","2011/12","267,800"
"Black","2012/13","272,870"
"Black","2013/14","242,300"
"Black","2014/15","228,440"
"Black","2015/16","206,750"
"Mixed","2002/03","50,220"
"Mixed","2003/04","66,730"
"Mixed","2004/05","78,290"
"Mixed","2005/06","78,360"
"Mixed","2006/07","77,000"
"Mixed","2007/08","83,390"
"Mixed","2008/09","93,630"
"Mixed","2009/10","95,980"
"Mixed","2010/11","95,430"
"Mixed","2011/12","103,840"
"Mixed","2012/13","111,700"
"Mixed","2013/14","106,660"
"Mixed","2014/15","102,010"
"Mixed","2015/16","95,240"
"White","2002/03","3,754,600"
"White","2003/04","4,433,090"
"White","2004/05","4,529,830"
"White","2005/06","3,968,180"
"White","2006/07","3,382,000"
"White","2007/08","3,496,730"
"White","2008/09","3,873,920"
"White","2009/10","3,716,760"
"White","2010/11","3,393,000"
"White","2011/12","3,342,040"
"White","2012/13","3,420,430"
"White","2013/14","3,095,990"
"White","2014/15","2,821,900"
"White","2015/16","2,559,790"
"Other","2002/03","90,410"
"Other","2003/04","99,110"
"Other","2004/05","107,760"
"Other","2005/06","95,650"
"Other","2006/07","84,790"
"Other","2007/08","82,010"
"Other","2008/09","89,640"
"Other","2009/10","90,010"
"Other","2010/11","81,280"
"Other","2011/12","78,230"
"Other","2012/13","80,140"
"Other","2013/14","74,580"
"Other","2014/15","71,980"
"Other","2015/16","68,330"
"Unknown","2002/03","321,540"
"Unknown","2003/04","281,060"
"Unknown","2004/05","240,040"
"Unknown","2005/06","169,950"
"Unknown","2006/07","131,450"
"Unknown","2007/08","133,570"
"Unknown","2008/09","131,650"
"Unknown","2009/10","107,140"
"Unknown","2010/11","87,070"
"Unknown","2011/12","77,840"
"Unknown","2012/13","94,920"
"Unknown","2013/14","87,090"
"Unknown","2014/15","63,300"
"Unknown","2015/16","73,290"
"Ethnic minority (excl. White minorities)","2002/03","627,170"
"Ethnic minority (excl. White minorities)","2003/04","723,270"
"Ethnic minority (excl. White minorities)","2004/05","793,280"
"Ethnic minority (excl. White minorities)","2005/06","755,790"
"Ethnic minority (excl. White minorities)","2006/07","689,330"
"Ethnic minority (excl. White minorities)","2007/08","730,450"
"Ethnic minority (excl. White minorities)","2008/09","831,530"
"Ethnic minority (excl. White minorities)","2009/10","811,610"
"Ethnic minority (excl. White minorities)","2010/11","784,790"
"Ethnic minority (excl. White minorities)","2011/12","796,730"
"Ethnic minority (excl. White minorities)","2012/13","804,920"
"Ethnic minority (excl. White minorities)","2013/14","730,440"
"Ethnic minority (excl. White minorities)","2014/15","691,660"
"Ethnic minority (excl. White minorities)","2015/16","641,820"
