"Title","Jobseekerâ€™s Allowance claimants sanctioned, by ethnicity and age group"
"Location","England, Wales and Scotland"
"Time period","December 2016"
"Data source","Benefit sanctions statistics"
"Data source link","https://www.gov.uk/government/collections/jobseekers-allowance-sanctions"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 August 2017"

"Age","Ethnic group","%","Number of sanctions"
"Aged 18-24","All","3.9","2,057"
"Aged 18-24","Asian","3.6","105"
"Aged 18-24","Black","4.7","181"
"Aged 18-24","Mixed","4.6","78"
"Aged 18-24","White British","3.9","1,495"
"Aged 18-24","White Other","3.4","56"
"Aged 18-24","Other","2.9","49"
"Aged 25-49","All","1.5","4,119"
"Aged 25-49","Asian","1.5","291"
"Aged 25-49","Black","1.8","453"
"Aged 25-49","Mixed","1.5","104"
"Aged 25-49","White British","1.5","2,707"
"Aged 25-49","White Other","1.4","169"
"Aged 25-49","Other","1.8","165"
"Aged 50+","All","0.8","1,224"
"Aged 50+","Asian","1.1","97"
"Aged 50+","Black","0.9","111"
"Aged 50+","Mixed","0.9","16"
"Aged 50+","White British","0.8","856"
"Aged 50+","White Other","0.6","32"
"Aged 50+","Other","0.6","16"
